
> firefly@0.0.1 sweep
> tsx src/eval/sweep.ts --plans tower-5x4 --quick

sweep  plans=tower-5x4  modes=freeze,blind,saturate,flashover,mixed  k=1,2,3  targets=ignition,neighbor,far,random  onset=5  seeds=1,2  ticks=60  cells=120 x 4 brains
  12/120 cells
  24/120 cells
  36/120 cells
  48/120 cells
  60/120 cells
  72/120 cells
  84/120 cells
  96/120 cells
  108/120 cells
  120/120 cells

plan         mode       k   target    brain          falseCert  fc@P.9  coverage  wrongDisp   err C              ttr  ms/tick
tower-5x4    mixed      2   random    kalman               40%     65%       93%        69%    27.1       22.0 (2/2)     0.14
tower-5x4    mixed      2   random    kalman-gated         40%     82%       96%        83%    62.5       36.0 (1/2)     0.12
tower-5x4    mixed      2   random    kalman-source         0%     71%       31%        75%   149.0      never (0/2)     0.40

tower-5x4    mixed      3   ignition  ours                  0%      0%       89%         0%     4.4        0.0 (2/2)     0.61
tower-5x4    mixed      3   ignition  kalman               83%     73%       80%        74%    12.1       23.0 (2/2)     0.21
tower-5x4    mixed      3   ignition  kalman-gated         81%     85%       96%        85%    41.5       36.0 (1/2)     0.19
tower-5x4    mixed      3   ignition  kalman-source         0%     41%        0%        38%    19.0      never (0/2)     0.54

tower-5x4    mixed      3   neighbor  ours                  0%      0%       88%         0%     4.2        0.0 (2/2)     0.60
tower-5x4    mixed      3   neighbor  kalman               78%     75%       95%        75%    10.2       22.0 (2/2)     0.21
tower-5x4    mixed      3   neighbor  kalman-gated         83%     79%       96%        79%    30.3       36.0 (1/2)     0.20
tower-5x4    mixed      3   neighbor  kalman-source         0%     65%       29%        60%    23.4      never (0/2)     0.54

tower-5x4    mixed      3   far       ours                  0%      0%       90%         0%     7.2        0.0 (2/2)     0.57
tower-5x4    mixed      3   far       kalman               72%     68%       96%        71%     9.4       22.0 (2/2)     0.21
tower-5x4    mixed      3   far       kalman-gated         85%     88%      100%        88%    37.2       36.0 (1/2)     0.19
tower-5x4    mixed      3   far       kalman-source         0%     16%       40%        23%    25.4        0.0 (2/2)     0.55

tower-5x4    mixed      3   random    ours                  0%      1%       54%        12%   196.7        0.0 (2/2)     0.44
tower-5x4    mixed      3   random    kalman               40%     65%       93%        69%    27.4       22.0 (2/2)     0.14
tower-5x4    mixed      3   random    kalman-gated         39%     82%       94%        82%    59.2       36.0 (1/2)     0.12
tower-5x4    mixed      3   random    kalman-source         0%     71%       31%        75%   149.3      never (0/2)     0.39

note: k (freeze/blind budget) only changes the freeze, blind and mixed cells with target=random; with a named target there is one sensor to break, and saturate/flashover ignore k, so those k=1/2/3 rows are identical by construction.

WHERE OURS LOSES
  (no aggregated cell where ours has higher false certainty or wrong dispatch than the best Kalman baseline: naive, gated or source)

